server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 22/12/2025 22:22:18,1,fahrenheit,1, 22/12/2025 22:22:18.994,INIT,,127.0.0.1:57756,0.996,0,0,10,0.1413
 22/12/2025 22:22:19,1,10,2, 22/12/2025 22:22:18.996,DATA,"21116.000000,20.100000,20.200000,20.300000,20489.400000,-34.500000,0.000050,20.700000,20.800000,20.900000",127.0.0.1:57756,1.002,0,0,61,0.2618
 22/12/2025 22:22:19,1,10,3, 22/12/2025 22:22:19.996,DATA,"21.000000,21.100000,21.200000,21.300000,21.400000,21.500000,21.600000,21.700000,21.800000,21.900000",127.0.0.1:57756,0.998,0,0,51,0.2410
 22/12/2025 22:22:20,1,10,4, 22/12/2025 22:22:20.997,DATA,"22.000000,22.100000,22.200000,22.300000,22.400000,22.500000,22.600000,22.700000,22.800000,22.900000",127.0.0.1:57756,0.998,0,0,51,0.2524
 22/12/2025 22:22:21,1,10,5, 22/12/2025 22:22:21.998,DATA,"23.000000,23.100000,23.200000,23.300000,23.400000,23.500000,23.600000,23.700000,23.800000,23.900000",127.0.0.1:57756,0.999,0,0,51,0.2000
 22/12/2025 22:22:22,1,10,6, 22/12/2025 22:22:22.998,DATA,"24.000000,24.100000,24.200000,24.300000,24.400000,24.500000,24.600000,24.700000,24.800000,24.900000",127.0.0.1:57756,0.999,0,0,51,0.1970
 22/12/2025 22:22:23,1,10,7, 22/12/2025 22:22:23.998,DATA,"25.000000,25.100000,25.200000,25.300000,25.400000,25.500000,25.600000,25.700000,25.800000,25.900000",127.0.0.1:57756,0.999,0,0,51,0.2864
 22/12/2025 22:22:24,1,10,8, 22/12/2025 22:22:24.998,DATA,"26.000000,26.100000,26.200000,26.300000,26.800000,26.900000,27.000000,27.100000,27.200000,27.300000",127.0.0.1:57756,1.0,0,0,51,0.2785
 22/12/2025 22:22:25,1,10,9, 22/12/2025 22:22:25.998,DATA,"27.400000,27.500000,27.600000,27.700000,27.800000,27.900000,21116.000000,20.100000,20.200000,20.300000",127.0.0.1:57756,1.0,0,0,56,0.3739
 22/12/2025 22:22:26,1,10,10, 22/12/2025 22:22:26.999,DATA,"20489.400000,-34.500000,0.000050,20.700000,20.800000,20.900000,21.000000,21.100000,21.200000,21.300000",127.0.0.1:57756,1.0,0,0,56,0.2223
 22/12/2025 22:22:27,1,10,11, 22/12/2025 22:22:27.999,DATA,"21.400000,21.500000,21.600000,21.700000,21.800000,21.900000,22.000000,22.100000,22.200000,22.300000",127.0.0.1:57756,1.0,0,0,51,0.2202
 22/12/2025 22:22:28,1,,0, 22/12/2025 22:22:28.996,HEARTBEAT,,127.0.0.1:57756,0.998,0,0,10,1.0641
 22/12/2025 22:22:29,1,10,12, 22/12/2025 22:22:28.999,DATA,"22.400000,22.500000,22.600000,22.700000,22.800000,22.900000,23.000000,23.100000,23.200000,23.300000",127.0.0.1:57756,1.005,0,0,51,0.1582
 22/12/2025 22:22:38,1,,0, 22/12/2025 22:22:38.997,HEARTBEAT,,127.0.0.1:57756,0.999,0,0,10,1.1349
