server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 22/12/2025 22:21:15,1,fahrenheit,1, 22/12/2025 22:21:15.199,INIT,,127.0.0.1:57121,0.614,0,0,10,0.1591
 22/12/2025 22:21:15,1,fahrenheit,1, 22/12/2025 22:21:15.613,INIT,,127.0.0.1:57121,0.624,1,0,10,0.7993
 22/12/2025 22:21:16,1,10,2, 22/12/2025 22:21:16.201,DATA,"21116.000000,20.100000,20.200000,20.300000,20489.400000,-34.500000,0.000050,20.700000,20.800000,20.900000",127.0.0.1:57121,0.202,0,0,61,0.2722
 22/12/2025 22:21:17,1,10,3, 22/12/2025 22:21:17.201,DATA,"21.000000,21.100000,21.200000,21.300000,21.400000,21.500000,21.600000,21.700000,21.800000,21.900000",127.0.0.1:57121,0.202,0,0,51,0.2963
 22/12/2025 22:21:18,1,10,4, 22/12/2025 22:21:18.201,DATA,"22.000000,22.100000,22.200000,22.300000,22.400000,22.500000,22.600000,22.700000,22.800000,22.900000",127.0.0.1:57121,0.203,0,0,51,0.2022
 22/12/2025 22:21:19,1,10,5, 22/12/2025 22:21:19.202,DATA,"23.000000,23.100000,23.200000,23.300000,23.400000,23.500000,23.600000,23.700000,23.800000,23.900000",127.0.0.1:57121,0.203,0,0,51,0.1710
 22/12/2025 22:21:20,1,10,6, 22/12/2025 22:21:20.202,DATA,"24.000000,24.100000,24.200000,24.300000,24.400000,24.500000,24.600000,24.700000,24.800000,24.900000",127.0.0.1:57121,0.203,0,0,51,0.1351
 22/12/2025 22:21:21,1,10,7, 22/12/2025 22:21:21.202,DATA,"25.000000,25.100000,25.200000,25.300000,25.400000,25.500000,25.600000,25.700000,25.800000,25.900000",127.0.0.1:57121,0.203,0,0,51,0.2044
 22/12/2025 22:21:22,1,10,8, 22/12/2025 22:21:22.202,DATA,"26.000000,26.100000,26.200000,26.300000,26.800000,26.900000,27.000000,27.100000,27.200000,27.300000",127.0.0.1:57121,0.204,0,0,51,0.3108
 22/12/2025 22:21:23,1,10,9, 22/12/2025 22:21:23.203,DATA,"27.400000,27.500000,27.600000,27.700000,27.800000,27.900000,21116.000000,20.100000,20.200000,20.300000",127.0.0.1:57121,0.204,0,0,56,0.2522
 22/12/2025 22:21:24,1,10,10, 22/12/2025 22:21:24.203,DATA,"20489.400000,-34.500000,0.000050,20.700000,20.800000,20.900000,21.000000,21.100000,21.200000,21.300000",127.0.0.1:57121,0.204,0,0,56,0.2296
 22/12/2025 22:21:25,1,,0, 22/12/2025 22:21:25.201,HEARTBEAT,,127.0.0.1:57121,0.203,0,0,10,1.3060
 22/12/2025 22:21:25,1,10,11, 22/12/2025 22:21:25.203,DATA,"21.400000,21.500000,21.600000,21.700000,21.800000,21.900000,22.000000,22.100000,22.200000,22.300000",127.0.0.1:57121,0.21,0,0,51,0.2560
 22/12/2025 22:21:35,1,,0, 22/12/2025 22:21:35.202,HEARTBEAT,,127.0.0.1:57121,0.204,0,0,10,1.4767
